"Timestamp","Koliko se godina profesionalno bavite digitalnim produktima?","Vaše zanimanje","Spol","Koliko godina imate","Prebivalište","U kojoj županiji radite","Obrazovanje","Koja je vaša trenutna dizajnerska uloga?","Na skali od 1-7, koliko vas je obrazovanje pripremilo za trenutnu radnu poziciju?","Koliko godina radite na trenutnoj poziciji?","Trenutno radite na poziciji:","U kojoj od navedenih tipova firma trenutno radite?","Koliko zaposlenika ima firma u kojoj radite? ","Ima li firma u kojoj radite dizajn tim? ","Koliko dizajnera ima u tvrtki u kojoj radite?","Koje timske aktivnosti održavate unutar design tima?","Odaberite koliki postotak projekata radite za pojedino tržište: [HR tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [Europsko tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [US tržište]","Odaberite koliki postotak projekata radite za pojedino tržište: [Globalno tržište]","Koliko sati provedete na sastancima tjedno?","Što vam je najbitnije na radnom mjestu? [Novčana naknada za obavljeni posao]","Što vam je najbitnije na radnom mjestu? [Mogućnost rada od kuće]","Što vam je najbitnije na radnom mjestu? [Edukacija]","Što vam je najbitnije na radnom mjestu? [Mogućnost profesionalnog razvoja]","Što vam je najbitnije na radnom mjestu? [Kultura kompanije i atmosfera u uredu]","Što vam je najbitnije na radnom mjestu? [Projekti]","Što vam je najbitnije na radnom mjestu? [Status i financijska pozadina tvrtke u kojoj radim]","Što vam je najbitnije na radnom mjestu? [Perks & Benefits (voće, kava, piva, grickalice...)]","Što vam je najbitnije na radnom mjestu? [Putovanja (konferencije, rad s inozemnim klijentima)]","Koliko ste zadovoljni trenutnim poslom?","Koliko ste plaćeni za posao koji radite (neto prihodi mjesečne plaće)?","Koliko ste zadovoljni mjesečnim prihodima?","Gdje najčešće radite?","Koja vrsta edukacije je pristuna na poslu?","S kojim pozicijama blisko surađujete na trenutnom radnom mjestu?","Koje metode koristite u dizajn procesu?","Kako znate jesu li vaša dizajn rješenja uspješna?","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Istraživanje i definiranje potreba korisnika]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Testiranje rješenja]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Strategija proizvoda]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Strategija kompanije]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Akvizicijske metrike (acquisition)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Retention / Engagement ]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Konverzijske metrike (conversion)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Revenue (Model zarade)]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Financijske metrike]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Poslovni model]","Po vašem mišljenju u koji dio poslovnih procesa stvaranja proizvoda bi se dizajneri trebali razumjeti i biti uključeni? [Upravljanje resursima]","Da ste u prilici dati jedan savjet mangementu tvrtke u kojoj radite, sa željom da unaprijedite dizajn proces, što biste im rekli?","Koju biste tvrtku na našem tržištu izdvojili kao dobar primjer ulaganja u dizajn procese ili kvalitetnog pristupa rješavanju dizajn/produkt problema?","Kako biste u par riječi opisali zašto ste izabrali tu tvrtku kao primjer dobre dizajn prakse?","Koje će po vama biti tri najvrednije dizajn vještine ili znanja potrebna za rad u budućnosti (gledano 3-8 godina unaprijed)?","Koja će nadolazeća tehnologija najviše utjecati na područje dizajna kojim se bavite?"
"2018/06/19 8:58:42 AM GMT+2","2 - 3 godine","UX/UI dizajner","Muški","26-30","ZAGREBAČKA","GRAD ZAGREB","GRF","UX/UI dizajner","5","manje od 1 godine","Junior Dizajner","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","151-500","Nema","2-5","Mentoriranje","50%","100%","75%","75%","1 - 3 sata / tjedno","5","5","4","4","4","4","5","4","5","4","5000kn - 6900kn","3","Najčešće u uredu","Edukacija je prisutna jedino u radu na projektima;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR","Programeri;Project managers","Wireframing;Izrada prototipa;Usability testing","Radimo usability testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Nisu potrebni","Dobar dizajn košta.","Five","Dobre plaće","Izrada VRa, AI, 360 video","AI"
"2018/06/19 9:03:23 AM GMT+2","2 - 3 godine","UX/UI dizajner","Ženski","26-30","GRAD ZAGREB","GRAD ZAGREB","GRF","UX/UI dizajner","4","2-5 godina","Medium Dizajner","Dizajn studio","2-10","Ima jedan dizajn tim","2-5","Mentoriranje","50%","0","50%","0","4 - 8 sata / tjedno","4","4","5","5","5","3","2","2","4","5","5000kn - 6900kn","4","Najčešće u uredu i povremeno remotely","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Knjige;Networking događaji / meetups;Konferencije i događanja u HR","UI dizajn;UX dizajn;Programeri","Research;Analiza konkurencije;Persone;Journey Mapping;Wireframing;Izrada prototipa;Design Sprint","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","","","","Prilagodljivost, empatija, analitičnost","Machine learning"
"2018/06/19 9:05:20 AM GMT+2","11 - 20 godina","UX/UI dizajner","Muški","31-35","SPLITSKO-DALMATINSKA","SPLITSKO-DALMATINSKA","FRI Ljubljana","UX/UI dizajner","6","6-10 godina","Management (Head of Design, Chief Design Officier i sl. )","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","21-50","Ima jedan dizajn tim","2-5","Mentoriranje","25%","75%","0","0","1 - 3 sata / tjedno","3","2","4","4","4","5","4","2","3","5","10000kn - 12900kn","5","Najčešće u uredu","Knjige;Blogovi;Networking događaji / meetups;Konferencije i događanja u inozemstvu","UI dizajn;UX dizajn;Programeri;Produkt managers;Sales;Project managers;Copywritter","Persone;Wireframing;Izrada prototipa;Usability testing","Pomoću analitike;Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Nemam odgovora na ovo pitanje","Rentlio, Trebam.hr","Dobra veza između UI dizajna, UX i konačnog proizvoda, kako na frontendu tako i backendu","Šire shvaćanje UX (Chat UX, API UX i slično, što većini ""dizajnera"" predstavlja mentalni problem i izlazak iz okvira (možda prevelik iskorak) - moguće da će se profilirati drugi tip kadrova nego današnji","Radio button ne omogućava više odgovora (UX fail!) - AR, Chatbots - AI (ali zasad ovaj glupi IF IF IF IF IF IF IF IF)"
"2018/06/19 9:08:54 AM GMT+2","11 - 20 godina","Produkt manager","Muški","36-40","GRAD ZAGREB","GRAD ZAGREB","FER","Produkt manager","3","2-5 godina","Management (Head of Design, Chief Design Officier i sl. )","Dizajn studio","11-20","Ima jedan dizajn tim","2-5","Mentoriranje","75%","25%","0","0","1 - 3 sata / tjedno","5","1","5","5","4","5","4","1","4","4","10000kn - 12900kn","4","Najčešće u uredu","Organizirana edukacija unutar tvrtke","UI dizajn;UX dizajn;Programeri;Project managers;Executives;Copywritter","Research;Analiza konkurencije;Wireframing","Nikako","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Dajte nam otvorene ruke i poštujte nas više.","FIVE, Degordian, Infinum","Trude se i pokrenuli su cijelo tržište","sinteza, brzina, fleksibilnost","VR"
"2018/06/19 9:13:21 AM GMT+2","2 - 3 godine","UX/UI dizajner","Ženski","26-30","GRAD ZAGREB","ZAGREBAČKA","Akademija primijenjenih umjetnosti Rijeka","UX/UI dizajner","2","2-5 godina","Medium Dizajner","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","21-50","Ima jedan dizajn tim","2-5","Dnevni dizajn Standup;Revizija dizajna;Mentoriranje","0","100%","100%","100%","4 - 8 sata / tjedno","2","2","5","5","5","5","5","5","5","4","7000kn - 8900kn","4","Najčešće u uredu","Educiram se samostalno doma;Audio knjige;Blogovi;Webinari;Online vodiči;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR","Programeri;Produkt managers;Sales;Project managers;Researcher;Data analyst","Persone;Journey Mapping;Design Sprint","Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","","","","Psihologija user experienca","AI"
"2018/06/19 9:16:16 AM GMT+2","2 - 3 godine","UX/UI dizajner","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","TVZ","UX/UI dizajner","1","2-5 godina","Medium Dizajner","Produkt okolina (tvrtka koja razvija vlastiti proizvod)","51-150","Ima jedan dizajn tim","2-5","Revizija dizajna","0","25%","75%","100%","4 - 8 sata / tjedno","4","3","5","5","5","4","3","2","4","5","7000kn - 8900kn","5","Najčešće u uredu","Educiram se samostalno doma;Organizirana edukacija unutar tvrtke;Knjige;Blogovi;Webinari;Networking događaji / meetups;Konferencije i događanja u HR","UI dizajn;UX dizajn;Programeri;Produkt managers;Project managers","Research;Intervjui s korisnicima;Analiza konkurencije;Wireframing;Izrada prototipa;Usability testing;Lean UX;Design Sprint","Pomoću analitike;Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Omogućite cijeloj firmi da čuje glas korisnika, izdvojite vremena i sredstva za testiranje i razgovor s njima te povratne informacije proširite firmom.","S obzirom da sam do sad radio samo u trenutnoj firmi no u više stranih, istaknuo bih SysKit kao iznimno pozitivan primjer - ne samo na domaćoj već i svjetskoj sceni.","Za SysKit mogu reći da stvarno sluša dizajnere i konstatno mijenja svoj način rada - nadograđuje ga pozitivnim primjerima i novootkrivenim praksama.","Istraživanje korisnika, izrada prototipa/mockupa, poznavanje development tehnologija","Machine learning"
"2018/06/19 9:20:21 AM GMT+2","11 - 20 godina","UX/UI dizajner","Muški","26-30","GRAD ZAGREB","GRAD ZAGREB","Srednja stručna sprema","UX/UI dizajner","1","6-10 godina","Lead Dizajner","Digitalna agencija","21-50","Ima jedan dizajn tim","2-5","Revizija dizajna;Mentoriranje","50%","25%","0","25%","4 - 8 sata / tjedno","5","1","3","4","5","5","3","3","4","3","10000kn - 12900kn","1","Najčešće u uredu","Edukacija je prisutna jedino u radu na projektima;Knjige;Konferencije i događanja u HR","Programeri;Project managers;Kreativni direktor","Intervjui s korisnicima;Wireframing;Izrada prototipa","Pomoću analitike;Radimo usability testove;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Nisu potrebni","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Bolja organizacija i dogovaranje rokova s klijentima.","Infinum","Čine se trenutno kao najbolja agencija u HR.","UX, UI, Visual design","Machine learning"
"2018/06/19 9:26:27 AM GMT+2","2 - 3 godine","UX/UI dizajner","Ženski","26-30","GRAD ZAGREB","GRAD ZAGREB","GRF","UX/UI dizajner","5","manje od 1 godine","Medium Dizajner","Digitalna agencija","51-150","Ima jedan dizajn tim","2-5","Revizija dizajna","0","25%","25%","50%","1 - 3 sata / tjedno","2","3","2","3","2","3","2","2","1","4","7000kn - 8900kn","4","Najčešće u uredu","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima","UI dizajn;UX dizajn;Programeri;Project managers","Research;Journey Mapping;Wireframing;Lean UX;Design Sprint","Pomoću analitike","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Ako ne razumijete da dizajn digitalnih proizvoda ima jednako veze s poslovnom strategijom koliko s ""bojama"", nije da ne znate raditi moj posao - već ne znate raditi svoj.","Degordian","Jedina firma za koju znam da ulaže dizajn koliko u developere, ako ne i više. Bave se prezentacijskim dizajnom više nego utility rješenjima pa nisu idealan primjer uvjek, ali eto. Uz njih Five, koji ko normalns firma ima odvojen UX i UI te dedicirano vrijeme posvećeno researchu i userima.e","Business savy, problem solving (as ever), ux strategija.","Conversational Interfaces"
"2018/06/19 9:29:32 AM GMT+2","8 - 10 godina","Dizajner vizualnih komunikacija","Ženski","41-45","GRAD ZAGREB","GRAD ZAGREB","GRF","Dizajner vizualnih komunikacija","1","6-10 godina","Freelancer","Vlastiti obrt","1","Nema","Samo ja","Nema design tima","100%","0","0","0","1 - 3 sata / tjedno","5","5","5","5","5","5","2","2","3","3","Nisam zaposlen ali freelanceam","2","Najčešće remotely","Educiram se samostalno doma;Knjige;Blogovi;Webinari;Online vodiči;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR","Programeri;Sales;Project managers","Research;Analiza konkurencije;Persone","Pomoću analitike;Radimo A/B testove","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ne mogu odgovoriti","Ukljucite dizajnera u cijeli proces i vjerujte njegovim savjetima. :)","","","Nista sto vec sad nije aktualno - multifunkcionalni dizajn, poznavanje potreba kupaca/trzista, prezentacijske vjestine.","Chatbots"
"2018/06/19 9:34:23 AM GMT+2","manje od 1 godine","Dizajner vizualnih komunikacija","Ženski","26-30","ZADARSKA","GRAD ZAGREB","GRF","UX/UI dizajner","2","manje od 1 godine","Junior Dizajner","Dizajn studio","11-20","Nema","2-5","Nema design tima","75%","0","0","0","1 - 3 sata / tjedno","4","3","5","5","5","4","3","2","3","4","2800kn - 4900kn","4","Najčešće u uredu","Educiram se samostalno doma;Edukacija je prisutna jedino u radu na projektima;Knjige;Blogovi;Online tečajevi;Networking događaji / meetups;Konferencije i događanja u HR","Programeri;Executives","Research;Analiza konkurencije;Persone;Wireframing;Izrada prototipa","Nikako","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Obavezno uključiti","Nisu potrebni","Ne mogu odgovoriti","Ne mogu odgovoriti","Obavezno uključiti","Nisu potrebni","Obavezno uključiti","Nisu potrebni","Uložiti novac u neke nove alate koje olakšavaju posao i dodatno educirati dizajnere ako je potrebno","Five, Infinum, Bruketa&Žinić","Dodatno educiraju  mentoriraju dizajnere te ih na taj način bolje i kvalitetnije uvode u posao i održavaju up to date sve potrebne vještine","UX, Emphaty, Brainstorm","VR"
